,DHSCLUST,DHSREGNA,LATNUM,LONGNUM,geometry,elementary_access,improved_access,limited_access,other
101,520,Tete,-15.1433485634,34.1587309253,POINT (34.15873092500004 -15.14334856299996),3.0,,25.0,
102,601,Manica,-19.1277877406,33.4442072409,POINT (33.44420724100007 -19.12778774099996),3.0,22.0,2.0,
103,602,Manica,-19.0824587968,33.4793402142,POINT (33.47934021400005 -19.08245879699996),,27.0,,
104,603,Manica,-19.1154832623,33.4879988083,POINT (33.48799880800004 -19.11548326199994),2.0,25.0,1.0,
105,604,Manica,-19.1076277627,33.4597592984,POINT (33.45975929800005 -19.10762776299998),1.0,24.0,1.0,2.0
106,605,Manica,-19.1340177155,33.4829997876,POINT (33.48299978800003 -19.13401771599996),2.0,25.0,1.0,
107,606,Manica,-19.1139074853,33.6398924073,POINT (33.63989240700005 -19.11390748499997),5.0,19.0,1.0,
108,607,Manica,-18.9239179259,32.8829250277,POINT (32.88292502800005 -18.92391792599994),1.0,27.0,,
109,608,Manica,-17.7441397276,33.1044534078,POINT (33.10445340800004 -17.74413972799994),9.0,,19.0,
110,609,Manica,-19.030572274,33.875836641,POINT (33.87583664100003 -19.03057227399995),7.0,,21.0,
111,610,Manica,-19.3314126243,33.873032534,POINT (33.87303253400006 -19.33141262399994),7.0,1.0,20.0,
112,611,Manica,-18.9816894454,33.4034074501,POINT (33.40340745000003 -18.98168944499997),6.0,,15.0,7.0
113,612,Manica,-16.6507670206,33.5505967722,POINT (33.55059677200006 -16.65076702099998),28.0,,,
114,613,Manica,-20.7087361163,33.4987319151,POINT (33.49873191500006 -20.70873611599995),23.0,1.0,4.0,
115,614,Manica,-17.6364905422,33.5409508017,POINT (33.54095080200005 -17.63649054199993),9.0,,19.0,
116,615,Manica,-18.5754494074,33.0037136871,POINT (33.00371368700007 -18.57544940699995),10.0,,18.0,
117,616,Manica,-18.8196256964,33.197333999,POINT (33.19733399900008 -18.81962569599995),5.0,3.0,20.0,
118,617,Manica,-20.6410509842,32.700173052,POINT (32.70017305200003 -20.64105098399995),15.0,,12.0,
119,618,Manica,-20.1415422425,32.940524306,POINT (32.94052430600004 -20.14154224299995),,,28.0,
120,619,Manica,-19.4204029018,33.2885045719,POINT (33.28850457200008 -19.42040290199998),20.0,7.0,,
121,620,Manica,-19.9625298116,33.7573819991,POINT (33.75738199900007 -19.96252981199996),7.0,,21.0,
122,621,Manica,-16.9493496778,33.9657221349,POINT (33.96572213500008 -16.94934967799998),10.0,,18.0,
123,701,Sofala,-19.8383797286,34.8627175952,POINT (34.86271759500005 -19.83837972899994),,28.0,,
124,702,Sofala,-19.8265142423,34.8697118423,POINT (34.86971184200007 -19.82651424199997),,28.0,,
125,703,Sofala,-19.8129601181,34.8594836235,POINT (34.85948362300007 -19.81296011799998),7.0,21.0,,
126,704,Sofala,-19.8117033642,34.8627521562,POINT (34.86275215600006 -19.81170336399998),3.0,25.0,,
127,705,Sofala,-19.7527738423,34.8447145432,POINT (34.84471454300007 -19.75277384199995),2.0,25.0,,
128,706,Sofala,-19.7599407363,34.8524228412,POINT (34.85242284100008 -19.75994073599998),3.0,25.0,,
129,707,Sofala,-19.6763470707,35.1296189406,POINT (35.12961894100005 -19.67634707099995),23.0,,5.0,
130,708,Sofala,-19.6483527698,34.7592924387,POINT (34.75929243900003 -19.64835276999997),20.0,8.0,,
131,709,Sofala,-19.2772735986,34.2023716925,POINT (34.20237169200004 -19.27727359899995),25.0,2.0,,1.0
132,710,Sofala,-19.85578,34.483592,POINT (34.48359200000004 -19.85577999999998),16.0,,12.0,
133,711,Sofala,-20.1061079292,34.1264787668,POINT (34.12647876700004 -20.10610792899996),26.0,,2.0,
134,712,Sofala,-17.688917,35.175309,POINT (35.17530900000003 -17.68891699999995),28.0,,,
135,713,Sofala,-17.4739368388,34.7829110656,POINT (34.78291106600005 -17.47393683899998),28.0,,,
136,714,Sofala,-20.5253663534,34.0313269481,POINT (34.03132694800007 -20.52536635299998),6.0,,22.0,
137,715,Sofala,-19.4885969115,34.6041404229,POINT (34.60414042300005 -19.48859691199993),5.0,22.0,,1.0
138,716,Sofala,-18.6601090799,33.9855858131,POINT (33.98558581300006 -18.66010907999993),3.0,,25.0,
139,717,Sofala,-17.8410554482,34.3830119461,POINT (34.38301194600007 -17.84105544799996),18.0,,10.0,
140,718,Sofala,-18.4269243807,35.9869026528,POINT (35.98690265300007 -18.42692438099994),8.0,,20.0,
141,719,Sofala,-19.5495329293,33.9497373666,POINT (33.94973736700007 -19.54953292899995),26.0,,2.0,
142,720,Sofala,-19.370528617,34.0339782395,POINT (34.03397823900008 -19.37052861699993),,,28.0,
143,801,Inhambane,-23.8165250784,35.5154301567,POINT (35.51543015700003 -23.81652507799993),14.0,7.0,7.0,
144,802,Inhambane,-23.8947526345,35.3990978207,POINT (35.39909782100005 -23.89475263399993),,27.0,,
145,803,Inhambane,-24.4837114735,35.0229477794,POINT (35.02294777900005 -24.48371147399996),1.0,25.0,2.0,
146,804,Inhambane,-23.8768680995,35.3020103633,POINT (35.30201036300008 -23.87686809999997),9.0,2.0,16.0,
147,805,Inhambane,-23.8073232747,35.3313078662,POINT (35.33130786600003 -23.80732327499993),11.0,16.0,1.0,
148,806,Inhambane,-23.7538080917,35.346340744,POINT (35.34634074400003 -23.75380809199993),14.0,2.0,13.0,
149,807,Inhambane,-22.0071956276,35.3191615441,POINT (35.31916154400005 -22.00719562799998),11.0,9.0,8.0,
150,808,Inhambane,-21.0062115464,34.9698288431,POINT (34.96982884300007 -21.00621154599997),18.0,,10.0,
151,809,Inhambane,-23.9945387464,35.2417264552,POINT (35.24172645500005 -23.99453874599993),8.0,,20.0,
152,810,Inhambane,-24.4823909974,35.0496588229,POINT (35.04965882300007 -24.48239099699998),6.0,,22.0,
